team,Played,Successful Raids_points,Successful Tackles_points,Super Tackles_points,Tackle Points_points,Total Points_points,Raid Points_points,Average Raid Points_points,Average Tackle Points_points,Total Points Conceded_points,Super Raid_points,DOD Raid Points_points,All-outs Inflicted_points,All-outs Conceded_points,Avg Points Scored_points,season
   Telugu Titans  ,22.0,332.0,191.0,17.0,207.0,696.0,400.0,18.18,9.41,698.0,10.0,88.0,25.0,26.0,27.59,5
   U Mumba  ,22.0,322.0,176.0,26.0,202.0,707.0,419.0,19.05,9.18,757.0,10.0,78.0,21.0,36.0,28.22,5
   U.P. Yoddha  ,23.0,358.0,183.0,19.0,201.0,762.0,461.0,20.04,8.74,763.0,23.0,83.0,23.0,32.0,28.78,5
   Bengal Warriors  ,23.0,340.0,186.0,16.0,200.0,725.0,436.0,18.96,8.7,734.0,16.0,85.0,23.0,23.0,27.65,6
   Bengaluru Bulls  ,24.0,431.0,219.0,12.0,230.0,887.0,547.0,22.79,9.58,766.0,20.0,73.0,37.0,24.0,32.37,6
   Dabang Delhi K.C.  ,24.0,401.0,198.0,19.0,216.0,822.0,483.0,20.13,9.0,824.0,13.0,73.0,34.0,28.0,29.12,6
   Gujarat Fortunegiants  ,25.0,392.0,258.0,18.0,274.0,876.0,480.0,19.2,10.96,769.0,10.0,74.0,36.0,20.0,30.16,6
   Haryana Steelers  ,22.0,361.0,180.0,15.0,193.0,715.0,447.0,20.32,8.77,806.0,12.0,45.0,16.0,33.0,29.09,6
   Jaipur Pink Panthers  ,22.0,334.0,202.0,25.0,225.0,711.0,415.0,18.86,10.23,780.0,13.0,75.0,22.0,32.0,29.09,6
   Patna Pirates  ,22.0,406.0,186.0,16.0,201.0,799.0,496.0,22.55,9.14,835.0,11.0,54.0,30.0,30.0,31.68,6
   Puneri Paltan  ,22.0,286.0,189.0,34.0,219.0,649.0,346.0,15.73,9.95,694.0,7.0,71.0,14.0,29.0,25.68,6
   Tamil Thalaivas  ,22.0,344.0,174.0,15.0,189.0,671.0,419.0,19.05,8.59,741.0,7.0,67.0,20.0,27.0,27.63,6
   Telugu Titans  ,22.0,289.0,202.0,33.0,233.0,647.0,353.0,16.05,10.59,702.0,9.0,85.0,18.0,25.0,26.63,6
   U Mumba  ,23.0,372.0,274.0,15.0,289.0,856.0,459.0,19.96,12.57,672.0,15.0,89.0,41.0,16.0,32.52,6
   U.P. Yoddha  ,25.0,357.0,240.0,27.0,265.0,812.0,449.0,17.96,10.6,847.0,10.0,86.0,26.0,30.0,28.56,6
   Bengal Warriors  ,20.0,340.0,182.0,12.0,192.0,718.0,426.0,21.3,9.6,623.0,15.0,53.0,34.0,17.0,30.9,7
   Bengaluru Bulls  ,20.0,345.0,178.0,25.0,201.0,715.0,432.0,21.6,10.05,680.0,9.0,42.0,25.0,25.0,31.35,7
