player,Successful Raids_points,Successful Tackles_points,Super Tackles_points,Tackle Points_points,Total Points_points,Raid Points_points,Avg Raid Points_points,Avg Tackle Points_points,Super 10s_points,Super Raids_points,DOD Raid Points_points,High 5s_points,season,Played
Abhishek Singh,110.0,1.0,,1.0,126.0,125.0,6.94,0.06,7.0,2.0,33.0,,7,18.0
Abishek M,,11.0,,11.0,11.0,,,1.57,,,,,7,7.0
Abolfazl Maghsodlou,3.0,,,,5.0,5.0,1.0,,,,1.0,,7,6.0
Abozar Mighani,,36.0,3.0,39.0,40.0,1.0,0.2,2.17,,,,1.0,7,18.0
Adarsh T,,3.0,,3.0,3.0,,,0.33,,,,,7,9.0
Ajay,1.0,2.0,,2.0,4.0,2.0,,0.2,,,,,7,10.0
Ajay Thakur,47.0,,,,58.0,58.0,4.46,,1.0,2.0,8.0,,7,13.0
Ajeet,,13.0,1.0,14.0,14.0,,,1.0,,,,,7,14.0
Ajinkya Kapre,1.0,,,,1.0,1.0,,,,,,,7,2.0
Ajinkya Pawar,16.0,,,,19.0,19.0,1.46,,,,8.0,,7,14.0
Ajith V,89.0,,,,107.0,107.0,6.69,0.0,4.0,1.0,11.0,,7,17.0
Aman Kadian,2.0,1.0,,1.0,4.0,3.0,1.0,,,,,,7,3.0
Amit,1.0,21.0,2.0,23.0,25.0,2.0,0.33,1.28,,,,,7,18.0
Amit Hooda,,33.0,3.0,36.0,37.0,1.0,,2.57,,,,2.0,7,14.0
Amit Kumar,12.0,19.0,2.0,20.0,37.0,17.0,2.67,1.54,,1.0,8.0,,7,13.0
Amit Sheoran,,42.0,3.0,45.0,45.0,,,2.2,,,,3.0,7,20.0
Anand,3.0,,,,6.0,6.0,1.2,,,1.0,3.0,,7,5.0
Anil Kumar,,29.0,1.0,30.0,30.0,,,1.88,,,,,7,16.0
Ankit,,11.0,2.0,13.0,13.0,,0.0,1.08,,,,,7,12.0
Ankit Beniwal,5.0,1.0,,1.0,8.0,7.0,1.17,,,,,,7,6.0
Ankush,4.0,1.0,,1.0,7.0,6.0,2.0,,,,2.0,,7,3.0
Arjun Deshwal,57.0,2.0,,2.0,78.0,76.0,4.75,,2.0,2.0,11.0,,7,16.0
Armaan,6.0,,,,9.0,9.0,1.5,0.0,,1.0,2.0,,7,6.0
Arun Kumar,1.0,,,,2.0,2.0,,,,,,,7,2.0
Ashish,3.0,1.0,,1.0,5.0,5.0,0.71,,,,1.0,,7,7.0
Ashish Kumar,,3.0,2.0,5.0,6.0,1.0,0.17,0.71,,,,,7,7.0
Ashu Singh,,30.0,2.0,32.0,32.0,,,1.78,,,,,7,18.0
Athul M S,39.0,,,,56.0,56.0,3.5,,,,12.0,,7,16.0
Azad Singh,3.0,,,,6.0,6.0,1.5,,,,,,7,4.0
Baldev Singh,,54.0,5.0,59.0,59.0,,,2.95,,,,6.0,7,20.0
Balram,1.0,,,,2.0,2.0,,,,,2.0,,7,2.0
Banty,13.0,3.0,,3.0,21.0,18.0,1.64,0.25,,,6.0,,7,12.0
C. Arun,1.0,18.0,3.0,21.0,23.0,2.0,,1.17,,,,1.0,7,18.0
Chand Singh,1.0,5.0,1.0,6.0,7.0,1.0,,0.67,,,,,7,9.0
Chandran Ranjit,81.0,3.0,1.0,4.0,110.0,106.0,5.58,0.21,2.0,3.0,9.0,,7,19.0
Darshan Kadian,4.0,1.0,,1.0,8.0,7.0,1.0,0.14,,,1.0,,7,7.0
Deepak Hooda,113.0,10.0,2.0,12.0,158.0,146.0,7.3,0.6,7.0,2.0,25.0,,7,20.0
Deepak Narwal,44.0,1.0,,1.0,56.0,55.0,3.24,0.06,1.0,,12.0,,7,17.0
Dharmaraj Cheralathan,1.0,38.0,4.0,42.0,45.0,3.0,0.33,2.33,,,,1.0,7,18.0
Dong Geon Lee,8.0,,,,11.0,11.0,2.2,,,,4.0,,7,5.0
Elavarasan A,,3.0,1.0,4.0,4.0,,,1.33,,,,,7,3.0
Emad Sedaghatnia,5.0,,,,8.0,8.0,4.0,,,,,,7,2.0
Esmaeil Nabibakhsh,60.0,23.0,2.0,25.0,100.0,75.0,3.75,1.25,1.0,3.0,7.0,1.0,7,20.0
Farhad Milaghardan,20.0,27.0,,27.0,52.0,25.0,1.47,1.5,,,3.0,,7,18.0
Fazel Atrachali,1.0,60.0,4.0,64.0,66.0,2.0,0.2,3.2,,,,2.0,7,20.0
Girish Maruti Ernak,,28.0,3.0,31.0,32.0,1.0,,2.07,,,,1.0,7,15.0
Gurdeep,,2.0,,2.0,2.0,,,,,,,,7,2.0
Gurvinder Singh,3.0,,,,4.0,4.0,2.0,,,,,,7,2.0
Hadi Oshtorak,4.0,32.0,7.0,39.0,47.0,8.0,0.57,1.95,,,,1.0,7,20.0
Hadi Tajik,1.0,15.0,1.0,16.0,17.0,1.0,0.33,1.33,,,,,7,12.0
Harendra Kumar,,18.0,1.0,19.0,19.0,,,1.06,,,,1.0,7,18.0
Harmanjit Singh,5.0,,,,5.0,5.0,1.25,,,,,,7,4.0
Hemant Chauhan,1.0,1.0,,1.0,2.0,1.0,0.5,0.33,,,1.0,,7,3.0
Himanshu,1.0,1.0,,1.0,3.0,2.0,,,,,,,7,3.0
Jadhav Balasaheb,,28.0,7.0,35.0,35.0,,,1.94,,,,3.0,7,18.0
Jaideep,,46.0,3.0,49.0,49.0,,,2.45,,,,3.0,7,20.0
Jang Kun Lee,40.0,1.0,,1.0,53.0,52.0,3.71,0.07,,,14.0,,7,14.0
Jawahar,,5.0,,5.0,5.0,,,0.71,,,,,7,7.0
Jeeva Kumar,,31.0,1.0,32.0,32.0,,,1.68,,,,,7,19.0
Joginder Narwal,,42.0,4.0,46.0,46.0,,,2.3,,,,1.0,7,20.0
K. Prapanjan,71.0,2.0,,2.0,101.0,99.0,5.82,0.11,3.0,4.0,10.0,,7,18.0
Kamal Singh,,2.0,,2.0,2.0,,0.0,0.67,,,,,7,3.0
Krushna Madane,,6.0,,6.0,6.0,,0.0,0.67,,,,,7,9.0
Kuldeep Singh,,8.0,,8.0,8.0,,,0.8,,,,,7,10.0
Lalit Chaudhary,1.0,2.0,1.0,3.0,5.0,2.0,0.5,,,,,,7,4.0
Mahender Singh,,43.0,7.0,50.0,50.0,,0.0,2.88,,,,3.0,7,17.0
Maninder Singh,171.0,,,,205.0,205.0,10.25,0.0,10.0,6.0,24.0,,7,20.0
Manjeet,86.0,26.0,1.0,27.0,131.0,104.0,5.2,1.35,2.0,2.0,17.0,,7,20.0
Manjeet Chhillar,,35.0,2.0,37.0,41.0,4.0,0.36,2.47,,,,2.0,7,15.0
Mayur Shivtarkar,,6.0,,6.0,6.0,,,0.86,,,,,7,7.0
Meraj Sheykh,22.0,1.0,,1.0,31.0,30.0,2.31,,1.0,1.0,4.0,,7,13.0
Mohammad Esmaeil,28.0,6.0,2.0,8.0,43.0,35.0,2.06,0.44,,,10.0,,7,18.0
Mohammad Taghi,,1.0,,1.0,1.0,,,,,,,,7,3.0
Mohit Balyan,,1.0,1.0,2.0,2.0,,,,,,,,7,1.0
Mohit Chhillar,,34.0,3.0,37.0,37.0,,,2.06,,,,1.0,7,18.0
Mohit Sehrawat,4.0,10.0,2.0,12.0,17.0,5.0,0.42,0.92,,,3.0,1.0,7,13.0
Mohsen Maghsoudlou,4.0,2.0,1.0,3.0,8.0,5.0,0.63,0.27,,,3.0,,7,11.0
Monu,9.0,18.0,7.0,25.0,36.0,11.0,0.79,1.25,,,2.0,,7,20.0
Monu Goyat,38.0,2.0,1.0,3.0,46.0,43.0,4.3,0.3,1.0,,5.0,,7,10.0
More G B,35.0,20.0,1.0,21.0,64.0,43.0,2.53,1.24,,,14.0,,7,17.0
Narender,,,,,,,,0.0,,,,,7,3.0
Naveen,46.0,2.0,,2.0,61.0,59.0,3.93,0.13,1.0,1.0,10.0,,7,15.0
Naveen Kumar,213.0,2.0,,2.0,258.0,256.0,12.8,0.1,19.0,2.0,33.0,,7,20.0
Naveen Narwal,,1.0,,1.0,1.0,,,0.33,,,,,7,3.0
Neeraj Kumar,,47.0,4.0,51.0,51.0,,,2.55,,,,3.0,7,20.0
